Copying objective function to workers...
Done copying objective function to workers.
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  143 |       8 | Accept |     0.33566 |       6.219 |  0.00025852 |     -2.4873 |            4 |           27 |      radbasn |       compet |
|  144 |       8 | Accept |     0.33149 |      14.953 |  0.00025852 |     -2.4897 |            4 |           36 |      radbasn |       compet |
|  145 |       8 | Accept |     0.34616 |      3.4434 |  0.00025852 |     -2.5073 |            5 |           20 |      radbasn |       compet |
|  146 |       8 | Accept |     0.32557 |     0.76371 |  0.00025852 |     -2.5191 |            4 |            2 |      radbasn |       compet |
|  147 |       8 | Accept |     0.33696 |      28.768 |  0.00025852 |     -2.5272 |            4 |           40 |      radbasn |       compet |
|  148 |       8 | Accept |  0.00099011 |      1210.2 |  0.00025852 |     -2.5347 |           10 |           10 |    elliotsig |      radbasn |
|  149 |       8 | Accept |     0.33768 |      1.1009 |  0.00025852 |     -2.5472 |            3 |            7 |      radbasn |       compet |
|  150 |       8 | Accept |     0.20849 |      11.499 |  0.00025852 |     -2.5606 |            3 |           21 |       logsig |       netinv |
|  151 |       8 | Accept |     0.32421 |      1.6225 |  0.00025852 |     -2.5454 |            4 |           12 |      softmax |       compet |
|  152 |       8 | Accept |     0.32183 |      0.9288 |  0.00025852 |     -2.5417 |            4 |            5 |      softmax |       compet |
|  153 |       8 | Accept |     0.32947 |      3.8747 |  0.00025852 |     -2.5441 |            3 |           20 |      softmax |       compet |
|  154 |       8 | Accept |     0.32406 |     0.71126 |  0.00025852 |     -2.5522 |            4 |            2 |      softmax |       compet |
|  155 |       8 | Accept |     0.33444 |      4.5159 |  0.00025852 |     -2.5555 |            3 |           29 |      softmax |       compet |
|  156 |       8 | Accept |     0.32634 |      10.429 |  0.00025852 |     -2.5565 |            2 |           40 |      softmax |       compet |
|  157 |       8 | Accept |     0.34107 |      10.642 |  0.00025852 |     -2.5678 |            4 |           34 |      softmax |       compet |
|  158 |       8 | Accept |     0.32658 |      2.9174 |  0.00025852 |     -2.5814 |            4 |           16 |      softmax |       compet |
|  159 |       8 | Accept |    0.015903 |      211.31 |  0.00025852 |     -2.5673 |            4 |            5 |      radbasn |    elliotsig |
|  160 |       8 | Accept |     0.32547 |     0.92574 |  0.00025852 |     -2.5734 |            5 |            1 |      softmax |       compet |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  161 |       8 | Accept |    0.025213 |      399.92 |  0.00025852 |     -2.5594 |            4 |            8 |      softmax |    elliotsig |
|  162 |       8 | Accept |     0.10347 |      165.77 |  0.00025852 |     -2.5451 |            2 |           14 |      softmax |       tansig |
|  163 |       8 | Accept |     0.33482 |      149.36 |  0.00025852 |     -2.5527 |            5 |            1 |       radbas |       netinv |
|  164 |       8 | Accept |  0.00060094 |      1789.1 |  0.00025852 |     -2.5455 |            5 |           28 |       radbas |       radbas |
|  165 |       8 | Accept |     0.34198 |      1.4159 |  0.00025852 |     -2.5562 |            5 |            8 |      softmax |       compet |
|  166 |       8 | Accept |     0.33467 |       1.181 |  0.00025852 |     -2.5422 |            1 |           10 |       tribas |       compet |
|  167 |       8 | Accept |     0.34388 |      2.3251 |  0.00025852 |     -2.5376 |            1 |           20 |       tribas |       compet |
|  168 |       8 | Accept |     0.34109 |     0.67192 |  0.00025852 |     -2.5389 |            1 |            2 |       tribas |       compet |
|  169 |       8 | Accept |     0.33129 |       5.581 |  0.00025852 |     -2.5401 |            3 |           30 |       tribas |       compet |
|  170 |       8 | Accept |     0.33078 |       1.134 |  0.00025852 |      -2.551 |            4 |            6 |       tribas |       compet |
|  171 |       8 | Accept |     0.33403 |      23.305 |  0.00025852 |     -2.5524 |            4 |           40 |       tribas |       compet |
|  172 |       8 | Accept |      0.3313 |      2.7751 |  0.00025852 |     -2.5654 |            7 |           15 |       tribas |       compet |
|  173 |       8 | Accept |     0.11254 |      6.7368 |  0.00025852 |     -2.5519 |            6 |            1 |    elliotsig |       tansig |
|  174 |       8 | Accept |  0.00080299 |      1332.9 |  0.00025852 |     -2.5463 |            7 |           14 |    elliotsig |       tansig |
|  175 |       8 | Accept |     0.33053 |      3.0285 |  0.00025852 |     -2.5591 |            3 |           25 |       tribas |       compet |
|  176 |       8 | Accept |    0.059119 |      14.196 |  0.00025852 |     -2.5457 |            2 |            3 |       tribas |    elliotsig |
|  177 |       8 | Accept |    0.050503 |      37.594 |  0.00025852 |     -2.5397 |            2 |           17 |       tribas |    elliotsig |
|  178 |       8 | Accept |    0.049254 |      4658.7 |  0.00025852 |     -2.5321 |            2 |           39 |       tribas |    elliotsig |
|  179 |       8 | Accept |    0.032349 |      33.805 |  0.00025852 |      -2.539 |            3 |            8 |       tribas |    elliotsig |
|  180 |       8 | Accept |     0.14003 |      2.1463 |  0.00025852 |     -2.5252 |            4 |            3 |       netinv |       logsig |
|=============================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |   Layer1Size |   Layer2Size |    TrainFcn1 |    TrainFcn2 |
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |
|=============================================================================================================================================|
|  181 |       8 | Accept |    0.089058 |      7.9647 |  0.00025852 |     -2.5198 |            5 |           15 |       netinv |       logsig |
|  182 |       8 | Accept |    0.094495 |      4.6116 |  0.00025852 |     -2.5261 |            2 |           10 |       netinv |       logsig |
|  183 |       8 | Accept |     0.15449 |      23.284 |  0.00025852 |     -2.5266 |            3 |           28 |       netinv |       logsig |
|  184 |       8 | Accept |     0.11268 |      27.436 |  0.00025852 |     -2.5126 |            4 |            1 |    elliotsig |       logsig |
|  185 |       8 | Accept |    0.025159 |      89.829 |  0.00025852 |      -2.505 |            3 |           18 |    elliotsig |       logsig |
|  186 |       8 | Accept |    0.062974 |      334.74 |  0.00025852 |     -2.5042 |            9 |           40 |       netinv |       logsig |
|  187 |       8 | Accept |    0.026161 |      17.713 |  0.00025852 |     -2.4897 |            5 |            3 |      radbasn |       tansig |
|  188 |       8 | Accept |   0.0032215 |      390.05 |  0.00025852 |     -2.4828 |            5 |           18 |      radbasn |       tansig |
|  189 |       8 | Accept |     0.28782 |      1.0441 |  0.00025852 |     -2.4924 |           10 |            1 |       netinv |       logsig |
|  190 |       8 | Accept |    0.057615 |       37.64 |  0.00025852 |     -2.4779 |            8 |            3 |      softmax |       netinv |
|  191 |       8 | Accept |    0.055367 |      23.453 |  0.00025852 |     -2.4691 |            8 |           22 |      softmax |       netinv |
|  192 |       8 | Accept |    0.022348 |      319.84 |  0.00025852 |     -2.4625 |            8 |           39 |      softmax |       netinv |
|  193 |       8 | Accept |     0.06888 |      6.6623 |  0.00025852 |     -2.4699 |            8 |           14 |      softmax |       netinv |
|  194 |       8 | Accept |    0.041237 |       30.97 |  0.00025852 |      -2.455 |            3 |            3 |       radbas |       logsig |
